LeftFrameNumber LeftFrameNumberRaw LeftSeconds LeftPupilX LeftPupilY LeftPupilWidth LeftPupilHeight LeftPupilAngle LeftIrisRadius LeftTorsion LeftUpperEyelid LeftLowerEyelid LeftDataQuality LeftCR1X LeftCR1Y LeftCR2X LeftCR2Y LeftCR3X LeftCR3Y LeftCR4X LeftCR4Y LeftCR5X LeftCR5Y RightFrameNumber RightFrameNumberRaw RightSeconds RightPupilX RightPupilY RightPupilWidth RightPupilHeight RightPupilAngle RightIrisRadius RightTorsion RightUpperEyelid RightLowerEyelid RightDataQuality RightCR1X RightCR1Y RightCR2X RightCR2Y RightCR3X RightCR3Y RightCR4X RightCR4Y RightCR5X RightCR5Y AccelerometerX AccelerometerY AccelerometerZ GyroX GyroY GyroZ MagnetometerX MagnetometerY MagnetometerZ Int0 Int1 Int2 Int3 Int4 Int5 Int6 Int7 Double0 Double1 Double2 Double3 Double4 Double5 Double6 Double7 DebugTimeGrabbedLeft DebugTimeGrabbedRight DebugTimeProcessed
111728 3002 30.3232 209.9058 133.1758 56.0812 65.0574 -69.1416 80.0000 NaN 0.0000 0.0000 0.0000 191.5224 122.7015 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111728 3002 30.3232 257.0225 119.0438 61.0380 68.2934 -62.0963 80.0000 NaN 0.0000 0.0000 0.0000 221.6329 108.1899 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1767.9275 1768.1699 1768.1777
111729 3003 30.3333 210.4261 132.6401 55.9366 64.7915 -69.7747 80.0000 NaN 0.0000 0.0000 0.0000 191.7910 122.1343 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111729 3003 30.3333 257.5844 118.9670 60.8573 68.4731 -62.4749 80.0000 NaN 0.0000 0.0000 0.0000 222.0921 108.2895 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1767.9424 1768.1864 1768.1893
111730 3004 30.3434 211.0171 132.0430 55.6450 64.7888 -69.8610 80.0000 NaN 0.0000 0.0000 0.0000 192.0000 121.8806 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111730 3004 30.3434 258.1098 118.8855 60.6012 68.4127 -63.3201 80.0000 NaN 0.0000 0.0000 0.0000 222.3506 108.1818 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1767.9576 1768.2015 1768.2079
111731 3005 30.3535 211.4436 131.4631 55.3425 64.8667 -71.0865 80.0000 NaN 0.0000 0.0000 0.0000 191.8923 121.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111731 3005 30.3535 258.6043 118.7380 60.4870 68.3389 -64.0160 80.0000 NaN 0.0000 0.0000 0.0000 222.4079 108.0789 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1767.9730 1768.2225 1768.2273
111732 3006 30.3636 211.8589 130.7345 55.2378 64.8309 -71.5189 80.0000 NaN 0.0000 0.0000 0.0000 192.0000 120.8806 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111732 3006 30.3636 259.0330 118.5314 60.1972 68.6508 -64.6779 80.0000 NaN 0.0000 0.0000 0.0000 222.3733 108.0267 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1767.9891 1768.2355 1768.2422
111733 3007 30.3737 212.0344 129.9911 55.2244 64.6666 -72.0921 80.0000 NaN 0.0000 0.0000 0.0000 192.0000 120.1940 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111733 3007 30.3737 259.3295 118.3148 60.1885 68.4581 -64.5394 80.0000 NaN 0.0000 0.0000 0.0000 222.4079 107.9211 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1768.0047 1768.2537 1768.2577
111734 3008 30.3838 212.4636 129.3326 54.8595 64.7376 -72.6204 80.0000 NaN 0.0000 0.0000 0.0000 192.0758 119.7121 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111734 3008 30.3838 259.7896 118.2365 59.9040 68.4193 -64.6274 80.0000 NaN 0.0000 0.0000 0.0000 222.5570 107.8481 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1768.0201 1768.2708 1768.2786
111735 3009 30.3939 212.8455 128.6236 54.7647 64.7368 -73.0606 80.0000 NaN 0.0000 0.0000 0.0000 192.0870 119.1014 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111735 3009 30.3939 260.2963 117.9026 59.4590 68.6116 -66.8252 80.0000 NaN 0.0000 0.0000 0.0000 222.5898 107.7949 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1768.0361 1768.2859 1768.2893
111736 3010 30.4040 213.3399 128.0076 55.0099 65.0899 -74.1958 80.0000 NaN 0.0000 0.0000 0.0000 192.4308 118.6461 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111736 3010 30.4040 260.8769 117.7232 59.2969 68.6051 -67.2792 80.0000 NaN 0.0000 0.0000 0.0000 222.6364 107.7533 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1768.0520 1768.3032 1768.3066
111737 3011 30.4141 213.9628 127.4844 54.7005 65.0526 -74.0856 80.0000 NaN 0.0000 0.0000 0.0000 192.6970 118.2576 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 111737 3011 30.4141 261.4410 117.5006 59.1370 68.5878 -67.5608 80.0000 NaN 0.0000 0.0000 0.0000 222.7820 107.5385 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1768.0672 1768.3192 1768.3214
