LeftFrameNumber LeftFrameNumberRaw LeftSeconds LeftPupilX LeftPupilY LeftPupilWidth LeftPupilHeight LeftPupilAngle LeftIrisRadius LeftTorsion LeftUpperEyelid LeftLowerEyelid LeftDataQuality LeftCR1X LeftCR1Y LeftCR2X LeftCR2Y LeftCR3X LeftCR3Y LeftCR4X LeftCR4Y LeftCR5X LeftCR5Y RightFrameNumber RightFrameNumberRaw RightSeconds RightPupilX RightPupilY RightPupilWidth RightPupilHeight RightPupilAngle RightIrisRadius RightTorsion RightUpperEyelid RightLowerEyelid RightDataQuality RightCR1X RightCR1Y RightCR2X RightCR2Y RightCR3X RightCR3Y RightCR4X RightCR4Y RightCR5X RightCR5Y AccelerometerX AccelerometerY AccelerometerZ GyroX GyroY GyroZ MagnetometerX MagnetometerY MagnetometerZ Int0 Int1 Int2 Int3 Int4 Int5 Int6 Int7 Double0 Double1 Double2 Double3 Double4 Double5 Double6 Double7 DebugTimeGrabbedLeft DebugTimeGrabbedRight DebugTimeProcessed
44799 1308 13.2121 92.9246 85.7658 52.7959 60.8759 -61.5708 80.0000 NaN 0.0000 0.0000 0.0000 127.4426 101.9508 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44799 1308 13.2121 139.0765 70.1300 49.0042 56.4251 -58.1547 80.0000 NaN 0.0000 0.0000 0.0000 157.5821 85.1045 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.4992 699.1911 699.5077
44800 1309 13.2222 93.3232 85.8270 52.7806 60.8946 -62.3454 80.0000 NaN 0.0000 0.0000 0.0000 127.7500 102.0667 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44800 1309 13.2222 139.4134 70.1397 49.0918 56.4824 -58.8427 80.0000 NaN 0.0000 0.0000 0.0000 157.7424 85.0606 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.5210 699.2068 699.5291
44801 1310 13.2323 93.5593 85.8961 52.9633 60.9332 -61.2323 80.0000 NaN 0.0000 0.0000 0.0000 127.7966 102.0170 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44801 1310 13.2323 139.8627 70.2554 49.6966 56.4097 -57.2060 80.0000 NaN 0.0000 0.0000 0.0000 157.8636 85.1364 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.5511 699.2225 699.5566
44802 1311 13.2424 93.8489 86.0067 53.0674 60.8798 -61.2313 80.0000 NaN 0.0000 0.0000 0.0000 127.8814 101.9153 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44802 1311 13.2424 139.9425 70.2788 49.3337 56.5225 -58.0137 80.0000 NaN 0.0000 0.0000 0.0000 157.8636 85.1364 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.5645 699.2386 699.5740
44803 1312 13.2525 94.0082 86.0656 53.0843 60.8538 -60.9872 80.0000 NaN 0.0000 0.0000 0.0000 128.0345 102.0517 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44803 1312 13.2525 140.0886 70.4919 49.4182 56.4617 -57.3411 80.0000 NaN 0.0000 0.0000 0.0000 157.8462 85.2000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.5821 699.2547 699.5859
44804 1313 13.2626 94.1819 86.1088 53.0917 60.9278 -60.9750 80.0000 NaN 0.0000 0.0000 0.0000 128.1379 102.0517 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44804 1313 13.2626 140.2369 70.6284 49.4567 56.4079 -57.7067 80.0000 NaN 0.0000 0.0000 0.0000 157.8750 85.2656 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.5970 699.2707 699.6018
44805 1314 13.2727 94.4729 86.1819 52.9535 60.9066 -62.1906 80.0000 NaN 0.0000 0.0000 0.0000 128.1379 102.0517 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44805 1314 13.2727 140.3873 70.7069 49.3452 56.3866 -57.4214 80.0000 NaN 0.0000 0.0000 0.0000 157.9365 85.2381 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.6095 699.2856 699.6144
44806 1315 13.2828 94.5453 86.2498 53.1561 60.8703 -61.3541 80.0000 NaN 0.0000 0.0000 0.0000 128.2759 102.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44806 1315 13.2828 140.4865 70.7290 49.4083 56.5502 -58.0768 80.0000 NaN 0.0000 0.0000 0.0000 158.0000 85.3492 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.6252 699.3007 699.6289
44807 1316 13.2929 94.7291 86.3407 53.1361 61.0040 -61.6215 80.0000 NaN 0.0000 0.0000 0.0000 128.3793 102.0862 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44807 1316 13.2929 140.6339 70.8734 49.5607 56.5698 -57.8488 80.0000 NaN 0.0000 0.0000 0.0000 158.0781 85.5469 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.6376 699.3167 699.6426
44808 1317 13.3030 94.8451 86.3640 53.2801 60.9386 -61.8910 80.0000 NaN 0.0000 0.0000 0.0000 128.4561 102.0877 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 44808 1317 13.3030 140.7507 70.9422 49.5628 56.4044 -57.2342 80.0000 NaN 0.0000 0.0000 0.0000 158.0781 85.5469 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0 0 0 0 0 0 0 0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 699.6513 699.3316 699.6550
